,Number of Number of H-Donors,no_lipinski.sdf,set_chlorbenzene.sdf,set_phenole.sdf
0,0,0,43,0
1,1,0,50,50
2,2,0,7,44
3,3,0,0,6
4,4,0,0,0
5,5,0,0,0
6,6,11,0,0
7,7,21,0,0
8,8,13,0,0
9,9,12,0,0
10,10,8,0,0
11,11,14,0,0
12,12,3,0,0
13,13,2,0,0
14,14,2,0,0
15,15,0,0,0
16,16,3,0,0
17,17,1,0,0
18,18,2,0,0
19,19,2,0,0
20,20,0,0,0
21,21,1,0,0
22,22,0,0,0
23,23,0,0,0
24,24,0,0,0
25,25,1,0,0
26,26,0,0,0
27,27,0,0,0
28,28,1,0,0
29,29,0,0,0
30,30,1,0,0
31,31,0,0,0
32,32,0,0,0
33,33,0,0,0
34,34,1,0,0
35,35,0,0,0
36,36,0,0,0
37,37,0,0,0
38,38,0,0,0
39,39,0,0,0
40,40,0,0,0
41,41,1,0,0
